income,debt,credit_score,employment_years,credit_limit,credit_used,default
48247,101875,836,0.7,4786,4786,0
50825,12940,583,3.6,7866,6505,0
214904,4344,659,1.7,9573,9573,0
43677,12000,622,2.5,11960,8972,0
58743,20241,662,1.4,10051,5938,0
48010,50955,694,1.7,12050,5914,0
24314,8337,693,0.1,9288,7978,0
97314,3767,575,16.0,11915,2686,0
76969,25680,538,3.9,7170,2585,0
78796,4427,850,2.8,7811,7811,0
28406,9425,602,1.9,6613,6613,0
113741,10872,720,3.1,37876,2130,0
21139,12636,489,1.9,27577,2692,1
69711,23187,622,1.8,14599,13743,0
182458,7732,637,2.5,25027,7944,0
27056,10732,697,1.3,17308,9034,0
34899,13208,378,0.8,11236,11014,1
52041,15058,667,3.3,3450,3450,0
36240,14447,535,7.4,8238,6614,1
19334,18936,682,0.7,7828,6167,0
51079,26241,546,0.1,4478,2270,1
25916,18290,564,1.1,3497,3497,1
65131,19204,623,15.6,13973,13973,0
28236,3768,545,7.1,12421,3638,0
124239,13907,602,3.6,4371,4371,0
30640,19606,531,10.6,5872,5872,1
40407,23936,467,2.4,22311,3804,1
79866,7678,752,16.4,5354,5354,0
23423,7885,520,1.4,11154,2665,0
56189,8440,632,1.1,8666,8666,0
107397,20520,725,4.1,14107,8635,0
18686,30550,589,1.9,5436,2115,1
54764,9643,567,3.9,10541,10541,0
57293,27622,673,1.5,11138,5718,0
78362,14747,762,3.8,11627,2564,0
23338,12095,533,1.3,10460,10460,1
22197,11281,635,0.2,12597,7671,0
67048,24277,477,9.7,45901,997,1
58582,17335,611,8.6,59451,3062,0
56971,82509,653,14.1,6327,6318,1
60347,6756,565,5.0,1953,704,0
32597,20221,604,4.6,15016,5306,0
56351,8749,509,3.3,11275,5666,1
58445,6665,658,0.5,20800,1694,0
31933,13244,756,0.8,12081,6270,0
150161,14911,540,1.4,10312,4948,0
65140,137935,588,8.8,21812,1682,1
23986,11530,700,0.8,24056,11244,0
72688,5409,771,10.2,3750,3750,0
27315,16621,501,3.0,5588,3787,1
78610,2541,633,5.0,9192,4110,0
98239,12412,678,0.5,10603,9449,0
29959,13532,640,1.3,8449,4103,0
87380,25227,402,12.7,13413,865,1
62797,29112,700,1.2,19876,7618,0
80277,8930,802,1.4,33054,2364,0
152982,11843,662,0.9,14842,3460,0
42310,7238,547,0.6,5450,5450,1
31187,5418,599,1.1,8927,4356,0
28747,17119,827,4.1,9389,4922,0
30047,4823,741,2.4,14189,7775,0
46805,9588,714,3.2,12987,7745,0
60156,6026,686,0.5,41576,2149,0
57873,20738,584,6.5,7165,4655,0
80524,56452,630,6.1,12956,5077,0
49405,4716,642,0.1,51447,6278,0
117257,3034,705,1.9,6571,6376,0
41823,12089,801,0.3,10956,10956,0
250722,13529,762,6.3,5108,1706,0
71353,15914,508,5.3,10482,10482,1
29311,9348,672,9.3,5732,5732,0
25783,11379,724,1.1,20594,7658,0
65479,17926,712,2.4,10972,2737,0
42870,30710,587,0.8,5142,5142,1
75237,2796,850,1.9,17826,683,0
65117,9945,522,3.0,11224,2657,0
46925,15852,542,0.2,19283,14108,1
29493,6410,673,5.0,4432,3522,0
19754,53366,850,3.1,12813,12813,1
37500,8036,566,7.1,17006,1261,0
81948,12926,623,1.3,7359,1806,0
55740,20844,758,9.3,4100,3046,0
23215,8325,648,26.6,9613,7156,0
54389,3050,617,10.1,23381,4025,0
61771,9481,707,6.0,21767,3161,0
28845,30441,677,6.7,7333,7333,1
53757,10203,753,3.4,4031,4031,0
50763,6788,779,0.8,7319,3385,0
24692,28016,681,4.5,7130,1055,0
60759,10254,679,5.0,13528,705,0
68629,8883,671,16.9,9196,6096,0
93885,15056,699,3.1,5841,5841,0
92252,24750,656,1.3,21439,5201,0
21448,89803,650,4.6,10919,4611,1
27926,25895,770,15.5,13424,2383,0
66771,33788,802,0.8,2959,2959,0
66721,8913,499,1.6,1814,1814,1
66771,5880,651,3.1,3618,668,0
494666,14043,581,0.7,7070,4584,0
69046,14556,619,0.1,14816,2052,0
96891,5637,690,1.6,1921,1285,0
86890,11612,717,8.0,30182,1778,0
72463,18388,639,0.2,11152,6917,0
40572,17824,459,2.2,25648,7076,1
77295,19999,553,5.7,5323,5323,1
30832,16861,740,12.2,14083,4954,0
42528,8905,376,16.9,10505,1010,1
36636,8856,769,2.2,17542,3967,0
51489,5120,702,12.0,8403,1411,0
196574,55705,782,0.1,13784,1659,0
15989,13504,630,5.5,21408,8287,0
73995,11160,444,4.1,6274,5853,1
18627,6355,693,1.1,11726,8340,0
36932,139878,777,2.8,2640,2640,1
94218,5661,742,0.6,16184,10011,0
50948,9480,584,8.2,38881,3388,0
25677,18633,659,1.8,4142,4142,0
31915,21594,597,3.9,9284,6702,1
73700,28749,568,0.7,18331,4079,0
31627,56732,746,0.9,10117,5948,0
55819,20029,530,19.3,11110,4836,1
50380,5740,561,5.6,7527,7527,0
33158,10877,540,13.1,7334,6130,1
177436,17090,501,1.4,9314,4908,1
71708,69883,665,0.7,10190,3965,0
14544,4367,766,2.8,4329,4329,0
54823,34964,632,2.7,9450,9294,0
32956,15428,499,0.8,29672,3841,1
81753,26115,734,5.3,7381,1737,0
30470,12313,819,1.8,4163,2183,0
45760,6809,585,0.8,8902,4164,0
66369,24360,602,1.6,6002,6002,0
82409,22551,702,3.3,3878,3878,0
23857,29075,812,5.2,10910,2879,0
40107,13218,598,2.6,6020,1008,0
36866,8268,517,3.0,6391,6391,1
33124,3839,713,0.6,11019,8202,0
141389,25732,730,9.8,3384,3384,0
62504,18753,651,10.6,2925,2925,0
23005,6170,594,4.6,15829,4238,0
85026,8683,749,0.1,2562,2562,0
175132,9197,703,3.1,4996,4996,0
91079,4079,573,4.0,2808,2808,0
19700,6946,655,20.9,7042,7042,0
36661,5393,515,22.2,13355,10759,1
104835,9605,719,7.8,10707,8766,0
32061,7399,624,0.3,52802,4379,0
63978,3635,606,12.3,21181,4767,0
78025,67378,647,3.8,5157,5157,1
28109,36389,654,6.5,4282,4282,1
47301,7164,739,2.1,65820,14065,0
7011,16613,709,1.5,20823,8071,1
26512,18657,634,2.5,14951,8408,0
42128,34644,726,0.6,10430,3289,0
23187,6940,690,1.8,11986,2913,0
130542,32006,607,7.8,3507,3507,0
20784,8619,638,0.2,11047,2931,0
37646,4589,635,0.7,10403,4824,0
53021,23845,701,0.5,5256,5256,0
116397,37519,613,2.1,6789,6789,0
20712,105908,611,23.2,28585,6449,1
98509,5116,847,0.8,9067,3765,0
49323,23368,744,0.6,42185,4398,0
27203,9625,574,9.9,2926,2926,1
64684,25001,707,8.5,6867,4756,0
55240,4120,662,0.1,3351,2974,0
34196,4865,689,5.6,4245,4245,0
51117,7182,664,4.3,5543,5543,0
38902,14231,769,5.8,12341,2923,0
52476,8000,685,2.7,11930,7563,0
72932,22635,644,19.0,6152,6152,0
126958,30379,754,0.2,2081,1984,0
23326,21583,673,1.1,27844,4103,0
176278,48778,662,2.0,8103,3936,0
15195,18632,681,2.4,4531,4531,1
44754,5047,641,10.2,11997,8680,0
69772,39763,651,3.3,11420,2992,0
58023,8233,591,0.2,7896,1282,0
33738,27676,575,2.1,10982,10982,1
43266,47051,550,2.2,4409,1794,1
36468,19252,511,13.5,16847,6273,1
34420,4036,562,3.7,4926,4364,0
81614,6409,633,4.0,6478,5688,0
60731,38492,660,5.0,15587,15587,0
32346,11669,623,5.9,22989,22989,0
84100,14238,414,4.0,30033,1130,1
58946,24515,807,1.1,20724,11915,0
79835,23320,759,8.3,7888,4270,0
71523,16698,695,5.3,3365,3365,0
29810,11306,841,5.4,26464,11632,0
35028,10403,552,22.7,25835,17479,0
76755,26538,839,6.5,6183,6183,0
70702,20803,553,7.1,18861,2207,0
48410,10874,674,12.1,7844,7844,0
52596,31751,523,0.7,28308,5465,1
105514,12049,651,2.8,6902,3982,0
34374,6759,689,3.5,39540,3202,0
68068,7280,635,1.6,17159,12158,0
43420,6106,721,7.3,34832,20807,0
43019,10744,660,5.7,7153,1676,0
94775,35846,598,5.1,13141,8602,0
80439,7016,593,23.4,5022,3515,0
79866,15534,731,1.2,17868,1312,0
107290,7900,585,5.3,18570,5614,0
49642,10848,742,3.2,52993,2322,0
73804,3992,772,1.5,13869,1188,0
40694,11199,483,0.7,16430,2432,1
59546,11442,763,9.0,7118,1949,0
45339,20583,850,3.6,14457,2746,0
51958,15973,675,7.0,7586,1490,0
70059,5122,710,3.2,10733,3444,0
30003,31804,754,1.0,11183,2587,0
172031,15808,622,1.6,7734,6892,0
26806,15658,668,1.9,10343,8385,0
23659,13262,519,14.4,7611,6211,1
98210,8829,664,0.0,7587,3976,0
78826,15903,700,17.0,21029,3881,0
71287,19545,702,15.7,11190,2314,0
71468,3303,757,22.2,12619,2364,0
48662,8682,573,2.6,3568,3568,0
28614,10895,597,13.3,13312,1009,0
51302,16398,840,2.0,14347,4570,0
32653,34705,635,0.1,7489,3673,0
87998,7206,670,1.0,42596,8427,0
44881,8970,643,11.6,1993,1363,0
29873,8866,568,0.1,17138,4970,0
40424,7036,812,3.2,16301,6692,0
62803,10120,597,0.3,14460,885,0
34953,24752,537,1.3,11196,1869,1
29932,5750,605,0.4,14552,4525,0
56739,18812,450,7.9,18174,7807,1
56782,3424,585,3.6,5954,5792,0
36165,8526,553,9.3,12203,8139,0
36952,10264,712,4.7,8705,1860,0
56344,51016,583,14.2,4603,1176,1
20561,10723,739,2.9,16351,5303,0
21068,2296,790,4.1,6667,1626,0
31854,2700,728,3.4,3469,2256,0
43128,13728,628,2.6,6786,6786,0
59074,21829,664,7.5,5658,5658,0
118802,18040,498,4.1,20332,2947,0
82010,15276,637,6.5,11017,2622,0
44535,33854,564,6.2,26047,8594,1
48465,8676,719,0.8,6207,5948,0
26862,27335,850,4.2,18250,1647,0
48479,3621,700,0.9,72239,851,0
41225,6477,451,3.5,12698,12698,1
59494,3148,614,4.5,18091,1636,0
29842,10723,662,23.6,16082,7902,0
66944,12874,659,0.1,3658,3658,0
122964,14637,577,0.4,14914,5613,0
45924,14038,675,0.3,12265,2863,0
62382,6361,526,2.0,8252,1362,0
74168,11474,556,6.9,5330,1345,0
38533,4032,715,7.4,16087,6898,0
56076,39759,548,5.3,5011,5011,1
49393,10479,704,9.1,44071,3443,0
51980,9035,513,1.6,10721,2981,0
30828,47627,826,0.4,4204,4204,0
49747,4945,573,0.2,6906,2651,0
66092,5429,628,7.6,8146,6292,0
117089,5558,683,5.2,53566,5103,0
87165,12654,593,4.8,5328,3400,0
178422,18870,664,1.7,9124,4847,0
30933,24143,708,1.9,6792,6792,0
82735,104568,746,12.7,14037,8468,0
54721,2209,729,0.3,6868,6868,0
182386,21742,633,5.9,4459,2150,0
30183,8555,635,1.5,8633,8633,0
29619,8357,850,0.2,8026,8026,0
34213,8137,745,5.4,6538,1275,0
13707,6457,558,1.6,6787,6787,1
35759,51412,660,5.1,22681,3097,0
31086,26208,616,4.9,7912,1223,0
53650,13610,636,3.1,4474,4474,0
60177,39372,527,6.0,7162,7162,1
151101,3984,609,3.5,10281,5633,0
86704,4607,831,1.4,3884,3884,0
34678,2339,708,5.3,30890,3650,0
28594,7635,401,3.6,18166,18166,1
65851,15205,772,0.1,26933,1695,0
22200,14506,759,9.3,13023,10782,0
147101,15055,614,3.2,2286,2286,0
99475,4321,722,8.1,28991,2278,0
36993,25400,564,8.6,5407,4705,1
17538,16183,603,2.4,5724,1403,0
110451,24015,800,2.8,11042,2876,0
45765,2939,623,2.1,25972,4711,0
103021,17140,463,2.4,20688,1217,1
18833,5166,644,9.0,18665,7752,0
34213,9722,642,6.2,7956,2064,0
49175,20486,770,0.5,7869,1331,0
50422,14370,651,3.8,12609,1859,0
37420,6760,608,22.0,9036,9036,0
71233,13427,755,3.6,18445,829,0
25834,3924,662,6.2,17696,7277,0
45007,33531,575,5.9,14972,2499,0
52690,11336,765,1.7,1689,1689,0
66747,32691,669,1.9,10825,8464,0
75130,8767,650,5.2,9171,8098,0
24965,8788,668,2.8,11132,2663,0
19527,7249,543,3.4,5837,1448,0
105515,26928,597,5.0,3915,3915,0
59838,7574,650,6.0,13687,8080,0
31285,22374,631,1.3,7712,3803,0
124330,9838,777,0.6,14799,7315,0
52544,2750,672,1.4,6188,3290,0
99467,8465,735,2.8,26666,2335,0
51047,5202,651,1.7,19945,4932,0
168796,13727,756,3.4,12183,7841,0
140534,5155,690,0.2,8524,6492,0
42219,28023,651,2.9,17974,7772,0
87811,12421,649,1.8,13027,2479,0
72202,11590,555,3.1,11696,11696,1
111433,22578,701,2.2,20537,3611,0
27475,28886,646,1.3,26865,4416,0
73986,13147,600,9.4,4119,1500,0
92508,7209,761,0.8,4744,4128,0
17065,3232,525,4.6,5732,5732,1
24102,7717,608,10.3,3458,3458,0
14421,8154,753,3.1,9472,9472,0
41704,14554,682,8.4,15064,7850,0
75397,10136,645,0.5,9750,6306,0
120742,23164,675,2.7,6810,3289,0
51249,8181,668,2.4,21775,2709,0
130245,12764,498,0.0,10920,10920,1
21417,34447,615,2.3,12583,11568,1
17641,17561,812,1.8,22203,1864,0
47414,12733,584,4.4,9079,9079,0
61725,8254,618,11.1,41863,8825,0
48069,8050,596,0.4,7234,1804,0
14179,6765,641,1.6,40077,7994,0
46468,8666,592,2.3,5002,1911,0
22411,24454,699,2.4,14218,552,0
73262,11187,670,6.0,6312,4255,0
61081,4538,727,2.3,21670,6198,0
27891,54970,545,0.1,7081,4431,1
36015,17257,616,5.0,12132,12132,0
25964,4335,627,8.6,6277,6277,0
47211,9382,696,2.9,19074,5611,0
86950,14599,571,3.5,6254,6254,0
27135,52244,742,0.7,32157,3304,0
66332,5506,769,1.0,4929,4929,0
35662,29168,551,1.1,3859,3859,1
30463,40929,601,2.3,19266,6527,1
45972,8079,597,10.5,6541,2803,0
26340,10700,850,3.0,9847,1202,0
35165,5831,607,0.9,7899,3130,0
23891,11353,818,1.2,3949,3949,0
159346,12974,523,1.9,9378,3294,0
50069,22646,551,3.9,23991,6390,0
32214,31957,581,2.3,19974,3987,1
55736,7343,565,2.0,11641,7241,0
45826,2769,623,3.3,21560,2040,0
42934,13135,579,1.1,4714,4714,1
70863,16896,568,0.3,7881,2760,0
77227,16310,766,0.1,13057,1231,0
35657,10287,772,1.2,9034,4236,0
34700,14762,745,0.4,8327,8327,0
41563,44907,702,1.6,4271,1323,0
12318,18131,659,5.9,2306,2306,1
19750,9910,600,5.0,17545,10075,0
111316,8954,555,3.8,11734,11734,0
131529,11662,686,7.7,18609,3154,0
42217,49483,533,1.3,7288,2783,1
69282,11538,551,8.7,6009,1720,0
59086,13150,765,2.0,9943,9943,0
310932,9083,840,2.0,17997,2251,0
95966,32183,689,2.1,8417,3521,0
45399,64079,761,0.4,17348,931,0
27631,19158,625,14.8,4893,4893,1
18697,14274,516,0.6,8840,8840,1
55386,13759,711,1.7,9423,9423,0
31138,1983,707,1.5,23353,1159,0
20882,24249,657,0.3,11445,8488,1
33258,14873,626,0.7,33599,1091,0
25619,18820,746,0.2,3853,3853,0
134899,7562,551,1.4,10839,5911,0
83198,9823,573,8.1,11221,6497,0
48787,9616,549,1.7,15276,7952,0
119130,30251,658,0.5,5601,4879,0
51350,9867,541,4.2,32180,840,0
29238,70695,582,22.7,9987,7955,1
122256,18858,579,1.1,4624,4624,0
67734,4815,624,1.3,9787,2181,0
26309,12054,501,14.3,7949,1197,1
43730,7932,659,0.8,69443,19654,0
28988,2309,775,2.9,20639,14886,0
21382,48030,664,1.1,10247,9278,1
85452,23447,804,10.8,9151,2674,0
154145,20467,783,16.0,19259,510,0
21181,15250,728,6.7,19915,9781,0
68719,4422,657,1.5,1289,1289,0
33177,9073,652,2.1,15523,3508,0
36597,26198,726,1.1,10093,10093,0
34357,5762,611,8.9,3953,3953,0
29191,1763,462,9.8,18327,5759,1
50469,11140,699,2.2,47683,5072,0
29775,11927,537,4.3,14614,5145,0
57657,14890,554,0.7,21382,9063,0
47565,23928,650,2.3,34992,2272,0
42473,22250,640,4.0,5535,5535,0
28437,16432,509,1.9,2696,2146,1
34681,34767,667,1.8,15675,15675,1
77129,3963,747,0.0,8322,7934,0
66208,20004,537,6.5,3782,2645,1
27268,22054,777,8.8,9370,5285,0
52031,4956,494,14.0,16470,2279,0
76944,4015,850,5.1,8917,8917,0
18004,7356,609,3.2,5706,5706,0
67915,7870,665,1.3,8464,8464,0
32939,24410,461,29.1,9763,9763,1
69034,8171,644,3.6,2564,2564,0
31009,6734,673,4.6,8956,8956,0
16599,8190,641,4.6,3862,3862,0
18462,32693,594,7.5,15698,4889,1
50456,13500,555,0.0,3319,3319,1
57287,11575,763,1.0,20108,11388,0
28493,12234,653,4.4,7432,7432,0
71909,37558,804,9.0,6768,2490,0
18090,7337,597,4.6,12163,687,0
47115,38269,607,2.1,5398,4197,1
23704,15810,732,1.8,12030,745,0
33153,11751,488,5.4,5928,2014,1
50435,98787,529,5.4,6703,2238,1
29253,5742,760,3.7,13144,2946,0
38920,10067,533,1.4,4460,4460,1
89660,4984,468,10.4,4085,4085,1
34678,28623,837,3.2,11775,7769,0
80936,51604,511,6.3,9713,8684,1
24889,50815,668,1.0,11138,8871,1
67365,35566,657,1.7,12448,519,0
116418,11406,369,8.3,10303,4960,1
11126,9975,623,0.2,15149,976,0
30390,3509,695,2.9,10596,7772,0
69303,68098,685,2.6,2428,747,0
43398,19442,740,5.6,2912,2912,0
61248,9013,611,1.3,38161,8047,0
34119,38656,721,1.0,9898,1797,0
51635,6135,581,10.4,19248,11679,0
44649,18496,509,3.4,7770,7754,1
98782,11636,520,0.4,9503,6924,1
57105,22269,504,0.9,7206,7206,1
60028,12697,751,27.0,55612,3557,0
38287,4185,499,0.9,11817,5635,1
36587,14192,677,3.8,6806,4959,0
37815,30918,623,2.2,3115,3115,1
62111,13051,640,8.7,39404,2684,0
38079,24837,786,5.6,8828,1606,0
58330,5788,606,3.6,16663,3629,0
170287,13082,711,0.0,18019,3454,0
82675,8106,654,8.5,7158,2532,0
40311,24284,635,2.4,15847,10581,0
100783,13701,850,10.7,6484,1711,0
38375,23204,506,2.7,4948,4212,1
14431,31894,779,4.7,22362,14041,1
26773,23232,716,0.3,8860,8860,0
15955,16622,602,5.5,14228,14228,1
39699,6012,813,1.6,13196,2888,0
49566,13330,465,1.7,15468,9955,1
134036,8721,598,0.5,3329,1888,0
59644,10145,529,0.6,6570,3834,0
42982,9901,691,0.8,7886,4173,0
80631,6100,539,1.6,5530,2927,0
13008,2791,693,8.9,13364,3549,0
56465,7828,631,1.8,22716,3153,0
77848,15595,602,5.2,25378,2030,0
20188,4544,689,0.3,7805,7805,0
97368,13528,623,3.6,12141,4171,0
60060,61097,541,2.6,13520,5892,1
38209,30286,850,15.3,15289,5695,0
71659,49753,601,7.5,5352,5163,1
191456,18268,428,2.4,35398,5343,1
54673,33996,566,6.0,18931,3734,0
56893,7486,523,0.9,19281,17616,1
37212,7979,733,3.3,22981,9747,0
29440,1493,682,0.3,14384,4997,0
80676,34507,690,1.7,4822,3287,0
29330,45810,613,1.0,8980,4416,1
51172,8582,622,5.1,3116,3116,0
36806,10903,613,2.7,13234,13234,0
65342,7309,642,5.6,8792,1428,0
59886,18145,734,2.9,9620,8900,0
91356,32858,684,0.4,22990,13549,0
36098,3314,700,5.3,7188,1289,0
41692,18537,700,7.2,8296,4175,0
27248,10707,738,9.4,10051,1885,0
37550,14628,679,3.4,2730,2730,0
61475,19287,686,5.6,8215,3560,0
77203,11492,769,5.6,1737,1737,0
28189,12297,583,0.7,6569,3395,0
82600,11259,564,0.7,18009,9397,0
110568,29035,531,0.3,13536,6040,0
62822,18676,668,1.5,6526,6050,0
151157,15938,465,2.6,10184,5679,1
30814,4833,696,24.7,4663,4663,0
23230,9869,639,2.3,9881,3882,0
16861,27417,763,5.2,76974,22713,0
120286,13769,583,4.7,36028,1618,0
72593,22643,630,0.9,10268,1040,0
47413,54897,762,0.2,11071,965,0
57987,30665,788,3.2,4986,756,0
24952,14393,582,4.8,5646,5646,1
212660,8877,668,25.4,12753,8073,0
52973,1732,679,1.8,6854,6854,0
52346,11676,687,9.1,18637,1899,0
75770,10293,624,1.9,29696,9613,0
65421,18257,778,4.7,12492,5173,0
56069,11812,461,3.6,10628,5710,1
30507,10339,608,0.2,3052,3052,0
65048,3218,695,0.3,16703,2488,0
151632,6298,696,0.1,4445,4445,0
109892,19562,785,1.9,7386,7386,0
127505,52719,770,5.5,19374,3046,0
36072,12357,621,0.8,20350,1842,0
27072,17366,780,3.7,7140,4541,0
45457,28623,579,1.4,7434,5791,1
50688,6983,743,6.4,6066,6066,0
94515,17916,831,6.4,4279,1717,0
17757,7388,771,6.0,6346,6346,0
122729,26685,661,3.0,3200,1241,0
44587,15080,617,1.3,15965,7279,0
37944,16963,497,6.6,13045,4462,1
26709,7143,681,0.8,14653,14653,0
18162,23520,538,1.4,5074,1222,1
80330,70811,571,0.8,4287,4287,1
51225,5965,531,4.5,10275,1061,0
22607,10180,604,4.6,10351,1488,0
22538,16079,647,4.2,8928,1086,0
40076,25062,677,2.1,8082,6157,0
133441,8539,590,0.4,32779,1709,0
41950,1385,757,9.7,13336,1460,0
19893,39630,629,2.8,39319,5899,1
42300,24548,571,2.1,24059,7381,0
41621,3313,673,3.6,32607,5094,0
9719,8217,846,0.9,4665,4247,0
47450,46842,684,0.6,14991,14991,0
42678,42542,614,2.1,7316,5604,1
74438,28308,497,1.0,3089,3089,1
148654,11604,628,1.1,28204,5589,0
96369,14277,673,8.9,8058,1830,0
41717,12031,611,3.0,4729,4729,0
25237,32945,483,2.6,7404,2724,1
229582,6630,565,4.7,5668,4528,0
50794,7012,795,12.1,6090,6090,0
49432,29978,793,0.5,8475,856,0
48316,12894,561,7.2,33242,1155,0
55207,40246,717,3.5,6208,6208,0
44953,7807,532,0.6,31618,2704,0
34745,12787,790,1.4,17929,2822,0
35309,6387,675,2.6,13061,5709,0
48067,13439,745,4.7,16709,3473,0
35382,4094,478,1.1,9992,7157,1
31962,9044,718,3.1,24349,4694,0
52253,4234,649,4.6,14719,5877,0
42067,23275,735,2.4,3086,2613,0
120861,23701,741,8.0,12178,5850,0
9991,3347,657,8.1,17133,13288,0
94363,38836,590,2.5,8084,2948,0
103534,98512,728,14.4,10812,10812,0
14129,13861,644,0.3,6445,4692,1
39910,7999,563,0.0,3773,3773,1
39228,127959,558,1.9,3343,3343,1
21068,4651,502,3.7,3375,3375,1
30740,13576,599,4.0,15809,6733,0
25176,15424,760,2.6,1732,1732,0
140275,39188,668,0.5,6207,6078,0
85940,17815,597,0.7,5791,5791,0
105128,8965,730,7.6,8123,3528,0
75584,6242,567,8.1,2699,2699,0
24899,10163,660,4.5,13131,8746,0
35785,5970,632,4.4,4059,4059,0
65751,13881,728,3.6,21866,4401,0
23546,8507,492,0.9,6405,6405,1
75192,4043,565,2.2,9256,2848,0
42438,36465,486,4.8,9923,988,1
39148,8972,624,3.1,11742,5246,0
75100,4844,771,0.1,10157,10157,0
63995,11677,599,12.3,7339,7339,0
39475,14111,599,7.5,12583,4462,0
98282,3304,737,1.2,13716,5111,0
25626,17419,757,3.8,5793,5793,0
70938,5781,641,10.3,13339,3874,0
69973,52513,718,0.4,22793,7823,0
40712,20316,542,2.8,16222,4551,0
59616,9702,788,2.4,19009,12213,0
23140,7360,850,2.1,11163,9421,0
